"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.191235507595,308.284363729813,303.381721433906,306.859130434783,309.734513274336,318.265976023764,324.188625908154,327.396542692509,329.815303430079,328.895849647612,329.61878058821,329.580061436386,324.508320726172,314.972510983732,318.813522759487,331.149927219796,336.363636363636,343.079780015713,351.616562677255,352.217103781175,354.026287373307,356.211989574283,356.586632057106,358.922124806601,357.142857142857,357.047872340426,358.759533758147,365.514009630611,371.501748251748,375.266543908704,377.611940298507,382.663677491241,384.384729717986,384.151992585727,384.436218678815,384.80635551142,384.615384615385,382.094978165939,384.300899427637,387.039994137028,395.902181097158,402.282562853415,405.932534169544,402.974504249292,403.77358490566,405.644758215669,405.762194451973,407.894736842105,409.179047162343,407.014681892333,408.113216911834,415.533980582524
"Cook","IL","Chicago","17","031",2,174.78527607362,176.430517711172,177.547707863551,176.653796653797,172.834567901235,170.648464163823,164.742451154529,162.688442211055,156.90990623726,155.728587319244,152.24358974359,143.828451882845,140.147188908479,139.27781871776,140.081337550836,140.57963720003,141.233437120853,140.597667638484,139.748369058714,138.384615384615,137.176931798528,134.038164002063,127.311320754717,121.520706042091,123.0900136951,125.019546520719,127.086188654676,129.602595296026,130.464808232491,128.076923076923,122.631578947368,120.859320219076,119.393382352941,118.933665808666,125.466284074605,123.076923076923,122.0703125,125.890529973936,130.574912891986,135.135135135135,139.103176218281,142.334431028174,141.193107152792,139.954554707379,141.586206896552,139.861991261386,133.865407088251,132.777777777778,128.289781106564,136.216906738688,143.930041152263,149.785582306059,155.053512768668,156.826347305389,156.808379265685,155.718739244394,153.677767208686,151.420454545455,146.329365079365,138.535309503051,135.543899319177,142.40230992682,151.514462809917,154.800361803851,159.519230769231,161.468105974378,160.906701708279,159.2188676255,158.097686375321,157.567316620241,154.640620312031,150.591163658992,149.540517961571,154.23177193823,162.276975361088,168.39378238342,171.790451607242,172.476372626767,170.311308464667,166.82156133829,166.666666666667,165.394402035623,162.555240258515,158.314350797267,157.495682070879,166.09375984376,172.58382642998,176.635514018692,179.548241083252,181.391010917443,180.73532528078,177.74358974359,176.880916791231,176.282523510972,173.878705687323,170.024269209052,170.359848484848,176.87893081761
"Harris","TX","Houston","48","201",3,75.0577367205543,76.0108216432866,76.1986301369863,76.4192139737991,76.1713135958609,75.7630841121495,74.6829710144928,74.6132246376812,75.3152487722077,74.6758333333333,75.0615632892438,74.1435945565462,73.5640460554192,73.4814489805415,73.7051225091693,73.326511021416,73.7008426966292,73.6146820318935,73.0231600321827,72.4738044318287,71.5923192805655,71.8101930128301,71.1690594784647,71.2053001277139,71.2010919017288,71.2166172106825,72.1134543894767,73.1707317073171,73.6354022988506,73.9437727035211,73.7010668763962,73.614917025045,73.4363525091799,73.2265446224256,75.2079678692833,75.8045829729528,76.2063157894737,78.6691280725514,79.8461227786753,80.839645485745,81.5837677091449,82.3614751727354,82.5258630437943,82.9734731647131,83.6312014345487,85.3847455806251,84.8032564450475,85.3336034106493,85.8676726639582,88.1683035477786,89.5903771131339,91.5998472699504,92.4737816162862,92.5094925785295,93.0864273636748,94.3935926773455,95.3870625662778,96.0335312609151,97.4334258334455,99.5229680893539,102.028435017278,104.112649298895,104.9011629691,106.986497062261,104.88379022646,103.330355871575,105.863245781145,106.457461645746,107.447361311514,108.641966512291,108.327461139896,110.20641356432,111.341317365269,109.100294412646,110.25824613858,110.366182014001,110.774070021882,111.007244683337,110.414657666345,110.881557921584,110.552824249303,110.664790668631,110.106887728928,110.053816046967,110.816772394693,111.966584158416,112.916077322018,113.485460420032,113.324175824176,113.091954022989,112.330198537095,112.718030625697,113.858961802155,114.23936553713,114.677333500329,115.560658042352,116.061140583942,116.717193590299
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.998883305416,122.605363984674,122.999723645936,124.245357049438,125.065460351251,125.798722044728,125.663889358092,125.60879811469,124.842766300487,124.94614390349,125.23511966956,126.426735218509,125.786163522013,124.877783813145,128.601144155791,130.964896141887,132.486749116608,134.003350083752,134.648606568979,134.246575342466,132.208994708995,133.770167865152,134.83606557377,136.536857781087,138.028169014085,138.428965703218,140.023806123744,142.542165658353,142.982456140351,143.503556738824,144.349235716488,143.813465078141,142.982456140351,142.900302114804,143.687001088534,144.619289340102,145.541331230021,145.904298459043,147.295321637427,148.939393939394,149.359764386044,150.394885295224,150.517403574788,149.749023938425,148.996412843593,149.84083586082,151.248389486538,153.272576636288,154.105839416058,155.209830615731,156.574910660863,157.921211986361
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.93997141496,274.652547981469,276.322293623332,281.02045268449,285.624230416191,289.735099337748,294.597680683718,296.194083529041,295.348837209302,295.657009942132,294.464944649447,292.227018963452,289.394287619872,285.807291666667,289.105295191722,294.426494345719,299.333333333333,302.621762116796,307.90929748287,303.111587982833,314.510400811771,315.51724137931,316.480891719745,314.79653880844,315.374248393116,316.696914700544,317.8362409629,321.00667693888,323.066884761085,325.153159059584,327.088908712459,328.518092105263,330.640160609322,330.088487810645,330.384742609921,330.46357615894,328.757225433526,329.632199861207,333.580495324009,334.891835310537,339.927393343091,345.637583892617,349.88038277512,348.833346702053,350.584400360205,352.425834990463,353.726974327473,353.903457201511,354.166666666667,356.666666666667,360.47833431597,366.177764310291
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.190909090909,343.511450381679,343.589743589744,344.79955892867,347.416597743505,349.201596806387,352.183650615901,353.962264150943,356.024237606001,355.932203389831,355.294953802417,357.342657342657,355.99943744136,355.051244509517,352.794923964974,355.731225296443,360.443622920518,361.602939012727,364.203732918353,367.279585101367,369.742198100407,371.428571428571,373.681408738775,374.233128834356,374.453134023,373.389787961861,376.321353065539,378.004325842067,381.430387794024,383.663366336634,386.255232748653,388.38302891628,390.972222222222,391.131429802753,390.865902124157,391.15589569161,392.070615599053,393.527171171942,394.388565378507,397.542464763282,399.520541023867,403.720504301251,405.87648230607,408.69688571587,407.71643663739,410.1584923938,411.995599559956,413.450570342205,413.638443935927,415.0390625,416.1593323217,420.926846491596,425.076071922545
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.333333333333,383.597883597884,380.448717948718,388.944444444444,393.386116373556,396.362433862434,400.160384923817,390.917126348354,389.756944444444,403.973509933775,401.533139858705,419.782608695652,402.895054282268,401.78970917226,391.176470588235,398.562300319489,404.386567711197,434.153400868307,449.056888812155,449.742080745342,450.375536480687,450.034199726402,471.666666666667,468.105053191489,471.681996855346,523.287793132328,518.802228412256,533.333333333333,550,580,578.703703703704,579.150579150579,575.034435261708,599.91423670669,607.142857142857,606.060606060606,609.065159035079,659.595894666924,675.462962962963,651.241727125412,701.851851851852,667.042526851139,676.328502415459,665.961624274877,679.804516019262,703.703703703704,712.634822804314,712.935295477414,720.461095100865,717.320261437908,727.430555555556,743.910588892435,752.155172413793,782.992307160954,795.929018789144,783.058250263693,767.531219980788,755.2,757.724256877992,768.771907372253,755.46218487395,758.869179600887,708.40197693575
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.388304831324,157.765151515152,161.616161616162,165.834992533599,165.0806785271,164.519326065411,168.429961912823,175.346260387812,160.148975791434,158.588782993886,163.888888888889,176.767676767677,177.988803514321,182.238667900093,183.155571901434,179.891635057189,183.559416255209,181.564245810056,182.127890689764,180.945347119646,181.818181818182,185.401808215726,188.533833196536,202.575976845152,206.645735217164,203.179490633666,212.422949265055,211.264624154751,211.469549804387,197.207678883072,198.832684824903,213.140676117775,216.5973271617,222.126742222831,221.65991902834,238.985868661679,242.886036483143,256.888888888889,264.734140861404,257.190440336287,263.797644838721,267.643540669856,265.997936016512,265.27625320161,260.223048327138,266.852635728885,271.14967462039,274.280473721157,278.058645096057,277.966101694915,280,280.559478267445,280.898876404494,282.539639951532,284.729064039409,282.85209192693,277.341593571735,281.312134221998,278.173913043478,285.218170950389,289.228723404255,289.169078131459,288.907284768212
"Dallas","TX","Dallas-Fort Worth","48","113",9,84.1189674523008,84.4308519623853,86.7224880382775,87.7634660421546,87.1341463414634,86.7052023121387,86.3523316062176,84.6721489432885,83.9274924471299,82.7770360480641,80.715059588299,77.7868852459016,75.9267142533406,75.6302521008403,76.1828907201524,76.5543644716692,78.4495957391246,78.4068136272545,76.8380187416332,74.8927855711423,73.3096170147917,72.6756752196276,70.431399917287,68.0516735241991,68.8016055045872,69.9955911675287,70.1120263512674,70.1248799231508,71.6629659534383,73.2167580492307,72.9166666666667,71.4898688915375,70.9224678735782,72.2183484977701,82.0719088912537,81.9955654101996,81.33,82.6644370122631,87.6218323586745,90.264816179689,91.8837321221783,91.8308222511762,91.8228934362198,91.6069518716578,92.2047702152414,91.991341991342,91.0745525829321,91.0710382513661,88.6116764195582,89.1737307377918,93.9425570949579,97.1414482952945,100,96.113074204947,96.6832504145937,101.037006985403,98.5089464727473,98.1451172940535,96.051910404258,98.1750354413529,98.9709443099274,103.793843951324,107.780821957474,110.25979037169,110.610235347999,111.23220520272,109.290984583055,109.564523527633,111.344496065681,113.132167004895,113.168724279835,112.007168458781,111.702424073558,115.515564202335,122.226890756303,126.251238815907,128.657607371475,129.464876115007,129.265023778642,128.05061765592,130.434782608696,132.286995515695,133.103318250377,133.455988260701,134.585122699387,136.958359648973,141.24131911382,147.566894926682,150.267228531785,150.219389725763,147.798742138365,146.495609624,146.923705379588,147.138552970293,147.61629149272,147.212543554007,146.830655986023,149.811268055752
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.538461538462,291.512957317073,293.75,300.104968509447,302.702183601989,307.273764799636,312.022237665045,315.924657534247,318.852459016393,324.166666666667,318.429143429143,318.914587664588,315.402588066139,314.171122994652,311.619543650794,321.428571428571,328.662462064509,337.644787644788,347.321428571429,346.506986027944,346.947648624667,347.054648687012,349.813432835821,344.260204081633,344.036697247706,349.344978165939,350.581272721695,353.723076923077,348.213392857143,361.352824806527,375.24300318418,379.562590100913,390.625,397.006905145112,396.739784766985,398.666666666667,399.839728217426,411.416040100251,419,424.575242718447,432.205785907454,439.260563380282,443.820224719101,449.316352808627,455.078125,457.573529411765,463.068181818182,458.057395143488,455.989130434783,445.423874212208,446.848541862653,462.191358024691,479.081632653061,495.432432432432,501.146415514561,499.28469241774,498.520700059427,496.04701962394,499.017716535433,498.889495347173,494.860939975356,499.998333333333,467.96875
